procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
1,646,15,6,53,199.23,10559.19,12,658,94.9,PO-2024-294458
2,651,7,1,50,636.67,31833.5,17,668,96.9,PO-2024-189045
3,632,16,3,121,120.73,14608.33,13,645,98.0,PO-2024-394238
4,62,12,1,50,285.66,14283.0,8,70,98.4,PO-2023-777368
5,315,13,4,50,1587.75,79387.5,16,331,98.6,PO-2023-137156
6,707,7,1,50,723.15,36157.5,17,724,95.8,PO-2024-134885
7,440,10,3,50,1567.62,78381.0,13,453,98.6,PO-2024-120032
8,571,16,5,50,110.8,5540.0,11,582,97.3,PO-2024-476806
9,717,16,3,77,104.78,8068.06,7,724,96.3,PO-2024-408069
10,563,2,1,50,635.86,31793.0,11,574,98.9,PO-2024-364156
11,142,5,5,54,980.12,52926.48,10,152,94.7,PO-2023-661501
12,69,2,7,50,567.46,28373.0,11,80,93.0,PO-2023-678391
13,386,15,5,50,234.46,11723.0,13,399,95.2,PO-2024-431618
14,37,7,4,50,612.12,30606.0,10,47,98.0,PO-2023-830522
15,220,8,4,50,479.28,23964.0,8,228,99.9,PO-2023-217550
16,67,5,2,97,895.12,86826.64,13,80,96.2,PO-2023-814357
17,195,8,6,50,462.12,23106.0,6,201,95.3,PO-2023-445926
18,237,14,5,50,579.7,28985.0,12,249,97.3,PO-2023-560526
19,103,5,7,50,1045.02,52251.0,12,115,93.9,PO-2023-762651
20,205,7,4,50,667.26,33363.0,14,219,99.3,PO-2023-856788
21,156,5,6,50,911.63,45581.5,6,162,96.3,PO-2023-824336
22,200,9,2,50,103.7,5185.0,10,210,95.3,PO-2023-580841
23,308,3,4,50,401.22,20061.0,11,319,99.8,PO-2023-204480
24,652,11,4,50,1178.19,58909.5,11,663,97.4,PO-2024-539794
25,600,2,3,50,665.48,33274.0,15,615,98.5,PO-2024-895980
26,594,11,2,50,1040.88,52044.0,17,611,97.0,PO-2024-294217
27,277,8,5,50,415.85,20792.5,8,285,96.9,PO-2023-933787
28,369,13,2,50,1597.82,79891.0,11,380,98.6,PO-2024-816018
29,638,16,6,65,116.55,7575.75,14,652,97.1,PO-2024-264751
30,530,11,7,50,1139.52,56976.0,10,540,96.8,PO-2024-196801
31,159,16,6,202,126.75,25603.5,9,168,97.7,PO-2023-703197
32,163,11,3,50,972.86,48643.0,17,180,97.4,PO-2023-456261
33,71,13,7,50,1569.41,78470.5,11,82,93.8,PO-2023-934202
34,646,15,5,50,229.45,11472.5,15,661,96.5,PO-2024-939438
35,287,16,5,50,105.09,5254.5,14,301,96.5,PO-2023-601658
36,574,15,4,56,226.05,12658.8,14,588,97.6,PO-2024-367012
37,717,16,7,78,126.99,9905.22,12,729,95.0,PO-2024-437252
38,57,2,2,50,564.64,28232.0,8,65,97.1,PO-2023-996535
39,336,3,5,50,424.54,21227.0,15,351,95.8,PO-2023-421505
40,10,6,4,50,503.05,25152.5,13,23,98.7,PO-2023-519721
41,185,4,7,53,363.37,19258.61,14,199,93.4,PO-2023-298942
42,666,5,3,50,1042.65,52132.5,9,675,97.5,PO-2024-789775
43,91,1,6,50,600.28,30014.0,11,102,97.3,PO-2023-620321
44,494,6,7,50,456.62,22831.0,10,504,94.6,PO-2024-998998
45,483,11,4,50,997.93,49896.5,17,500,97.4,PO-2024-784302
46,215,13,4,50,1462.63,73131.5,18,233,98.3,PO-2023-803497
47,568,8,7,50,455.32,22766.0,9,577,96.3,PO-2024-923233
48,717,3,4,65,429.7,27930.5,8,725,97.0,PO-2024-472703
49,680,7,7,50,718.05,35902.5,5,685,93.4,PO-2024-482929
50,44,12,6,50,280.04,14002.0,10,54,97.7,PO-2023-368485
51,445,14,5,50,630.35,31517.5,16,461,96.3,PO-2024-664372
52,466,10,3,50,1498.42,74921.0,12,478,97.7,PO-2024-760529
53,103,5,2,50,1065.07,53253.5,11,114,98.5,PO-2023-676270
54,640,13,3,50,1629.94,81497.0,18,658,98.7,PO-2024-596395
55,347,8,4,50,498.28,24914.0,17,364,97.5,PO-2023-353782
56,494,5,7,50,928.32,46416.0,7,501,92.9,PO-2024-450187
57,361,1,1,50,706.29,35314.5,10,371,98.6,PO-2023-819140
58,207,5,4,50,1060.78,53039.0,14,221,96.4,PO-2023-755388
59,140,13,6,50,1440.22,72011.0,11,151,96.1,PO-2023-804906
60,662,10,5,50,1554.47,77723.5,18,680,95.7,PO-2024-385949
61,49,11,7,50,1007.08,50354.0,11,60,96.2,PO-2023-123960
62,472,13,2,50,1530.56,76528.0,16,488,97.0,PO-2024-926235
63,133,13,6,50,1543.75,77187.5,9,142,94.9,PO-2023-280857
64,639,4,6,82,362.6,29733.2,9,648,94.6,PO-2024-477863
65,645,8,1,79,455.04,35948.16,13,658,98.7,PO-2024-553354
66,214,14,3,50,612.08,30604.0,14,228,98.8,PO-2023-368486
67,162,14,2,50,562.7,28135.0,11,173,97.1,PO-2023-167769
68,383,1,5,87,611.05,53161.35,17,400,95.2,PO-2024-449881
69,727,1,1,86,677.68,58280.48,9,731,96.9,PO-2024-284478
70,702,5,3,50,951.85,47592.5,8,710,97.5,PO-2024-742828
71,226,16,4,50,116.24,5812.0,15,241,96.5,PO-2023-156068
72,583,14,4,50,551.92,27596.0,8,591,96.7,PO-2024-890851
73,466,9,7,50,119.15,5957.5,14,480,93.0,PO-2024-318628
74,686,16,7,80,110.24,8819.2,11,697,95.2,PO-2024-850894
75,349,9,2,50,106.53,5326.5,11,360,95.2,PO-2023-103964
76,238,13,1,50,1610.7,80535.0,17,255,96.9,PO-2023-740468
77,215,11,5,50,1116.35,55817.5,9,224,95.8,PO-2023-415125
78,229,8,4,50,413.22,20661.0,8,237,99.9,PO-2023-668747
79,541,15,2,50,240.5,12025.0,8,549,95.9,PO-2024-474580
80,102,13,5,50,1708.68,85434.0,17,119,94.1,PO-2023-949053
81,511,12,2,50,310.29,15514.5,18,529,98.7,PO-2024-485288
82,123,15,5,50,240.06,12003.0,17,140,95.2,PO-2023-707822
83,367,4,3,50,360.68,18034.0,11,378,99.3,PO-2024-684711
84,725,1,6,50,650.02,32501.0,9,731,97.3,PO-2024-655641
85,41,3,5,146,408.37,59622.02,18,59,95.4,PO-2023-421379
86,375,7,6,50,708.42,35421.0,5,380,96.7,PO-2024-110201
87,397,6,7,50,473.82,23691.0,12,409,94.8,PO-2024-243279
88,441,4,6,58,391.66,22716.28,14,455,94.6,PO-2024-178244
89,231,12,4,50,277.57,13878.5,12,243,97.3,PO-2023-265612
90,220,13,4,50,1589.33,79466.5,11,231,99.3,PO-2023-786433
91,268,7,6,50,707.87,35393.5,13,281,94.8,PO-2023-588482
92,551,2,2,53,616.34,32666.02,14,565,97.8,PO-2024-611092
93,673,5,5,177,1021.53,180810.81,17,690,95.6,PO-2024-972535
94,722,1,3,50,595.69,29784.5,9,731,99.4,PO-2024-557388
95,604,9,4,50,111.36,5568.0,11,615,97.9,PO-2024-664526
96,35,16,4,66,106.66,7039.56,11,46,96.0,PO-2023-497829
97,138,1,6,56,690.88,38689.28,14,152,95.3,PO-2023-750566
98,699,15,7,50,203.89,10194.5,9,708,93.3,PO-2024-432129
99,526,14,4,50,633.62,31681.0,7,533,96.5,PO-2024-399537
100,333,11,1,50,1129.7,56485.0,7,340,97.3,PO-2023-207253
101,644,2,5,74,620.98,45952.52,11,655,94.5,PO-2024-821919
102,329,7,2,50,737.58,36879.0,9,338,96.5,PO-2023-559069
103,115,5,5,50,932.28,46614.0,13,128,94.4,PO-2023-474975
104,582,16,3,50,118.71,5935.5,12,594,97.0,PO-2024-166165
105,563,7,6,50,722.87,36143.5,10,573,95.8,PO-2024-487321
106,575,13,4,50,1466.72,73336.0,8,583,99.2,PO-2024-600327
107,125,15,1,123,228.33,28084.59,18,143,95.8,PO-2023-796339
108,717,4,6,110,360.18,39619.8,6,723,97.4,PO-2024-572919
109,285,4,3,58,320.53,18590.74,14,299,100.0,PO-2023-107142
110,704,1,2,50,680.25,34012.5,18,722,98.8,PO-2024-991243
111,650,5,4,71,916.55,65075.05,16,666,97.8,PO-2024-764396
112,657,8,6,50,489.01,24450.5,5,662,94.2,PO-2024-403483
113,251,4,5,50,329.99,16499.5,15,266,96.0,PO-2023-265741
114,226,15,7,109,228.42,24897.78,9,235,93.0,PO-2023-100090
115,84,15,4,50,219.31,10965.5,12,96,97.0,PO-2023-826098
116,476,4,5,50,348.1,17405.0,9,485,97.2,PO-2024-428301
117,388,8,7,50,499.28,24964.0,8,396,94.3,PO-2024-856932
118,62,15,1,81,233.06,18877.86,8,70,95.8,PO-2023-684174
119,630,9,6,50,123.05,6152.5,5,635,97.6,PO-2024-455427
120,515,7,1,50,644.37,32218.5,10,525,99.2,PO-2024-842110
121,251,3,1,50,416.02,20801.0,17,268,97.1,PO-2023-970872
122,52,14,2,50,625.35,31267.5,10,62,98.0,PO-2023-836921
123,642,8,7,50,497.09,24854.5,12,654,96.9,PO-2024-736434
124,154,8,4,50,489.57,24478.5,11,165,99.6,PO-2023-983613
125,608,4,3,110,341.78,37595.8,12,620,96.2,PO-2024-386643
126,42,6,2,51,497.07,25350.57,11,53,97.8,PO-2023-505578
127,151,1,5,112,674.49,75542.88,18,169,95.5,PO-2023-893637
128,409,8,1,50,481.32,24066.0,12,421,98.9,PO-2024-211037
129,305,12,6,50,306.22,15311.0,12,317,94.2,PO-2023-221434
130,290,13,3,50,1660.44,83022.0,8,298,97.7,PO-2023-487023
131,88,8,5,50,416.64,20832.0,14,102,96.2,PO-2023-446364
132,411,4,3,56,321.58,18008.48,9,420,97.7,PO-2024-873866
133,398,6,5,91,555.53,50553.23,7,405,94.6,PO-2024-869782
134,149,4,3,50,340.47,17023.5,11,160,99.0,PO-2023-754448
135,706,4,3,79,373.52,29508.08,14,720,99.2,PO-2024-119694
136,19,3,5,56,449.22,25156.32,7,26,93.8,PO-2023-958929
137,621,10,1,50,1609.52,80476.0,17,638,97.2,PO-2024-908355
138,178,7,2,50,635.53,31776.5,16,194,98.6,PO-2023-565824
139,231,5,1,50,924.96,46248.0,13,244,98.4,PO-2023-797600
140,133,16,5,138,108.26,14939.88,7,140,95.3,PO-2023-500715
141,448,16,6,50,115.25,5762.5,5,453,94.0,PO-2024-660856
142,491,13,1,50,1465.02,73251.0,12,503,97.8,PO-2024-261650
143,165,10,6,50,1586.0,79300.0,12,177,95.4,PO-2023-873008
144,376,14,1,50,588.9,29445.0,8,384,99.0,PO-2024-921483
145,569,16,1,51,105.35,5372.85,14,583,97.2,PO-2024-184229
146,57,2,6,50,603.59,30179.5,6,63,96.6,PO-2023-662964
147,269,9,1,50,110.46,5523.0,14,283,97.7,PO-2023-287715
148,223,15,5,105,212.25,22286.25,14,237,95.2,PO-2023-655193
149,297,12,6,50,305.24,15262.0,5,302,95.5,PO-2023-611814
150,409,2,2,51,622.11,31727.61,9,418,98.0,PO-2024-285468
151,444,15,5,50,209.16,10458.0,8,452,94.5,PO-2024-111191
152,648,13,6,50,1442.84,72142.0,10,658,94.4,PO-2024-285289
153,52,1,6,70,650.51,45535.7,8,60,94.6,PO-2023-969010
154,23,13,4,50,1484.46,74223.0,18,41,96.1,PO-2023-649325
155,271,15,6,154,203.34,31314.36,5,276,95.2,PO-2023-712365
156,350,7,7,50,640.31,32015.5,12,362,95.4,PO-2023-910814
157,279,11,4,50,1161.76,58088.0,15,294,96.0,PO-2023-284933
158,713,13,6,50,1504.36,75218.0,11,724,97.0,PO-2024-163782
159,218,6,5,50,465.08,23254.0,7,225,96.9,PO-2023-665934
160,730,15,1,69,217.81,15028.89,17,731,95.7,PO-2024-173257
