production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
1,376,11,3,60,0,1.13,PROD-2024017422
2,78,13,3,81,0,0.74,PROD-2023039595
3,441,4,1,1997,23,1.2,PROD-2024033020
4,161,1,3,1703,12,0.74,PROD-2023068538
5,529,13,2,40,0,0.33,PROD-2024062367
6,552,10,3,123,0,0.16,PROD-2024073326
7,548,2,2,800,4,0.5,PROD-2024079100
8,378,9,2,332,1,0.57,PROD-2024014567
9,339,7,2,300,1,0.36,PROD-2023123716
10,158,3,2,800,5,0.68,PROD-2023067583
11,230,2,2,800,5,0.68,PROD-2023089733
12,276,14,2,103,1,1.02,PROD-2023105400
13,341,13,1,181,0,0.55,PROD-2023122098
14,646,10,1,156,1,0.88,PROD-2024106808
15,111,11,1,133,1,0.8,PROD-2023048563
16,605,11,1,350,3,1.13,PROD-2024086958
17,585,2,3,800,7,0.94,PROD-2024082280
18,212,15,1,600,3,0.61,PROD-2023072087
19,106,12,3,79,0,0.37,PROD-2023041901
20,564,10,3,350,2,0.63,PROD-2024077788
21,216,4,1,1843,14,0.81,PROD-2023086417
22,586,3,3,800,4,0.62,PROD-2024084097
23,100,9,2,756,3,0.46,PROD-2023045191
24,687,5,1,800,3,0.42,PROD-2024115530
25,280,8,2,300,0,0.26,PROD-2023106662
26,198,3,3,1082,12,1.13,PROD-2023078098
27,619,9,1,727,5,0.82,PROD-2024091080
28,699,11,3,110,0,0.26,PROD-2024111729
29,470,9,3,617,5,0.84,PROD-2024042891
30,710,7,2,631,7,1.16,PROD-2024122701
31,364,16,2,1127,11,0.98,PROD-2023126712
32,554,10,1,269,2,0.89,PROD-2024075362
33,563,1,2,800,7,0.9,PROD-2024077578
34,436,10,1,350,1,0.42,PROD-2024033992
35,3,6,1,1159,5,0.47,PROD-2023013222
36,416,7,2,300,2,0.87,PROD-2024023921
37,609,8,2,606,4,0.78,PROD-2024087518
38,378,4,1,1097,3,0.28,PROD-2024011428
39,7,12,3,350,2,0.63,PROD-2023015529
40,26,6,1,1366,5,0.4,PROD-2023017556
41,491,15,3,708,6,0.94,PROD-2024054043
42,275,14,2,250,2,1.14,PROD-2023108086
43,244,4,3,800,1,0.17,PROD-2023092603
44,672,16,3,600,1,0.26,PROD-2024113497
45,415,16,2,3015,28,0.96,PROD-2024027386
46,658,12,1,350,3,1.08,PROD-2024109796
47,481,7,1,619,4,0.66,PROD-2024043644
48,279,2,1,1355,13,1.03,PROD-2023101250
49,455,1,3,1037,4,0.41,PROD-2024032663
50,614,8,3,820,1,0.23,PROD-2024098687
51,610,13,2,117,0,0.4,PROD-2024098206
52,207,7,1,300,3,1.04,PROD-2023074339
53,286,16,1,3420,22,0.65,PROD-2023109706
54,299,12,2,288,3,1.09,PROD-2023104861
55,693,9,2,1710,19,1.12,PROD-2024118549
56,28,16,1,3834,13,0.36,PROD-2023012415
57,65,14,2,183,1,0.87,PROD-2023036297
58,383,6,1,860,1,0.18,PROD-2024014271
59,178,11,1,60,0,0.55,PROD-2023067811
60,375,16,2,600,2,0.41,PROD-2024012100
61,349,14,1,250,1,0.4,PROD-2023122644
62,47,13,2,250,1,0.59,PROD-2023024715
63,477,4,3,800,5,0.72,PROD-2024045933
64,439,15,1,600,5,0.84,PROD-2024034235
65,402,6,1,1788,19,1.08,PROD-2024021288
66,39,7,3,546,4,0.8,PROD-2023024380
67,229,12,3,311,3,1.14,PROD-2023082925
68,468,1,1,800,8,1.01,PROD-2024046613
69,32,13,1,143,1,0.89,PROD-2023028079
70,145,1,2,800,4,0.57,PROD-2023057860
71,302,6,3,1618,3,0.24,PROD-2023105939
72,261,16,2,1415,9,0.69,PROD-2023093222
73,121,13,1,85,0,0.49,PROD-2023054544
74,425,14,2,177,0,0.49,PROD-2024024063
75,242,3,3,800,7,0.95,PROD-2023084468
76,542,2,3,800,8,1.04,PROD-2024066821
77,330,3,2,1491,10,0.73,PROD-2023114624
78,282,13,2,91,0,0.85,PROD-2023109129
79,411,9,1,551,3,0.56,PROD-2024021106
80,303,12,2,350,1,0.3,PROD-2023102250
81,217,5,2,800,2,0.31,PROD-2023085280
82,8,8,2,526,0,0.16,PROD-2023018414
83,359,15,2,866,4,0.57,PROD-2023123322
84,436,4,2,929,10,1.16,PROD-2024035412
85,295,2,3,800,2,0.26,PROD-2023101270
86,576,15,3,600,3,0.55,PROD-2024077502
87,540,6,1,1523,8,0.58,PROD-2024065875
88,56,4,1,1292,4,0.31,PROD-2023022214
89,459,6,1,1344,7,0.58,PROD-2024045284
90,248,13,3,250,1,0.45,PROD-2023097349
91,550,3,2,834,6,0.83,PROD-2024078881
92,628,11,3,350,2,0.65,PROD-2024096009
93,564,1,2,1340,14,1.05,PROD-2024074046
94,375,7,2,1115,6,0.58,PROD-2024014186
95,594,8,1,300,0,0.24,PROD-2024084808
96,445,10,1,99,0,0.66,PROD-2024033209
97,334,7,1,1395,2,0.15,PROD-2023117832
98,353,9,3,1074,3,0.28,PROD-2023127304
99,458,3,1,800,6,0.78,PROD-2024042540
100,436,16,3,600,2,0.47,PROD-2024038531
101,497,9,2,566,1,0.28,PROD-2024057812
102,602,8,3,300,1,0.37,PROD-2024085639
103,571,8,3,346,4,1.17,PROD-2024073461
104,224,4,2,800,4,0.59,PROD-2023084013
105,577,6,1,2581,16,0.63,PROD-2024076134
106,350,14,3,250,1,0.47,PROD-2023122386
107,144,16,1,2993,16,0.55,PROD-2023052145
108,695,16,3,6966,55,0.8,PROD-2024114112
109,41,14,1,250,2,1.15,PROD-2023028402
110,257,13,3,195,2,1.11,PROD-2023099268
111,366,6,2,2305,4,0.2,PROD-2024011244
112,592,15,1,600,5,0.89,PROD-2024084646
113,389,9,2,1475,16,1.15,PROD-2024012166
114,431,3,1,800,2,0.29,PROD-2024034482
115,272,2,1,800,6,0.83,PROD-2023094839
116,586,7,3,661,7,1.16,PROD-2024086415
117,179,10,3,325,0,0.25,PROD-2023063282
118,136,10,3,345,4,1.18,PROD-2023051576
119,61,9,2,300,1,0.36,PROD-2023034353
120,87,1,1,1036,7,0.73,PROD-2023034646
121,590,13,1,40,0,0.8,PROD-2024086887
122,281,2,1,800,2,0.28,PROD-2023104950
123,352,9,3,856,6,0.8,PROD-2023129144
124,215,15,3,600,5,0.99,PROD-2023089864
125,373,8,3,1234,3,0.32,PROD-2024018664
126,163,3,2,1812,20,1.14,PROD-2023063562
127,172,3,1,800,6,0.82,PROD-2023065801
128,472,3,1,800,7,0.96,PROD-2024047686
129,557,9,2,328,1,0.42,PROD-2024075263
130,434,15,3,600,3,0.63,PROD-2024034243
131,414,3,1,800,2,0.31,PROD-2024021380
132,202,7,2,300,1,0.47,PROD-2023075894
133,206,14,3,142,0,0.28,PROD-2023079286
