sales_id,date_key,product_id,customer_id,quantity_sold,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,order_number
1,226,15,5,36,429.99,0,0.0,15479.64,15479.64,10835.64,4644.0,30.0,ORD-202308-895667
2,164,14,3,5,1299.99,0,0.0,6499.95,6499.95,4224.95,2275.0,35.0,ORD-202306-325772
3,345,4,1,49,699.99,0,0.0,34299.51,34299.51,24009.51,10290.0,30.0,ORD-202312-476417
4,353,9,1,30,219.99,15,989.96,6599.7,5609.74,4619.7,990.04,17.65,ORD-202312-230889
5,388,3,5,19,849.99,25,4037.45,16149.81,12112.36,11304.81,807.55,6.67,ORD-202401-759176
6,634,12,5,4,649.99,0,0.0,2599.96,2599.96,1689.96,910.0,35.0,ORD-202409-148050
7,678,8,3,6,899.99,25,1349.98,5399.94,4049.96,3779.94,270.02,6.67,ORD-202411-344098
8,104,13,3,8,3299.99,0,0.0,26399.92,26399.92,17159.92,9240.0,35.0,ORD-202304-270555
9,380,12,2,11,649.99,5,357.49,7149.89,6792.4,4647.39,2145.01,31.58,ORD-202401-835911
10,700,3,5,22,849.99,15,2804.97,18699.78,15894.81,13089.78,2805.03,17.65,ORD-202411-864544
11,251,6,4,25,999.99,0,0.0,24999.75,24999.75,17499.75,7500.0,30.0,ORD-202309-771088
12,705,8,3,4,899.99,0,0.0,3599.96,3599.96,2519.96,1080.0,30.0,ORD-202412-961722
13,33,11,4,5,2299.99,0,0.0,11499.95,11499.95,7474.95,4025.0,35.0,ORD-202302-321231
14,581,11,2,11,2299.99,5,1264.99,25299.89,24034.9,16444.89,7590.01,31.58,ORD-202408-514850
15,659,15,2,34,429.99,0,0.0,14619.66,14619.66,10233.66,4386.0,30.0,ORD-202410-358607
16,575,9,5,14,219.99,10,307.99,3079.86,2771.87,2155.86,616.01,22.22,ORD-202407-518801
17,371,8,2,17,899.99,10,1529.98,15299.83,13769.85,10709.83,3060.02,22.22,ORD-202401-195325
