shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
1,648,658,28,15,7,23,Maersk Line,Delivered,4086,1372.41,MAE9551166427,
2,489,516,28,11,5,81,DB Schenker,In Transit,5062.52,4833.27,DB 1542288166,
3,357,373,28,15,16,39,XPO Logistics,Delayed,4541.01,2327.13,XPO1070033276,Security Check
4,424,435,26,11,17,64,DHL Express,Delivered,5270.26,1606.4,DHL7255101456,
5,515,528,17,10,11,281,FedEx International,Delivered,674.33,143.31,FED1783808225,
6,520,527,33,15,16,549,FedEx International,Delivered,306.56,56.94,FED1248895462,
7,252,268,19,10,1,432,XPO Logistics,Delivered,2580.45,280.8,XPO4609517287,
8,382,401,6,13,3,631,C.H. Robinson,Delivered,756.73,138.82,CH9677111047,
9,489,501,4,13,9,608,DHL Express,In Transit,505.78,103.36,DHL2375902193,
10,295,314,27,10,4,46,DB Schenker,In Transit,4688.5,2726.42,DB 3703546943,
11,141,159,29,14,6,11,FedEx International,Delivered,3383.66,1482.25,FED2506458339,
12,114,121,5,16,14,742,FedEx International,Delivered,646.31,163.24,FED4722223970,
13,270,290,21,16,2,116,XPO Logistics,Delivered,7596.43,4543.72,XPO6226352739,
14,393,404,25,16,15,11,XPO Logistics,Delivered,2179.39,480.92,XPO9287420025,
15,62,84,27,12,1,50,FedEx International,Delivered,3786.07,2963.5,FED2183243834,
16,715,729,7,15,10,654,DHL Express,Delivered,463.05,156.96,DHL6118911135,
17,231,242,7,13,7,379,CMA CGM,Delivered,500.31,90.96,CMA1671318724,
18,298,316,6,10,8,613,FedEx International,Delivered,897.43,134.86,FED8825170768,
19,379,392,35,15,8,421,UPS Worldwide,Delivered,271.34,41.05,UPS6685909963,
20,28,37,27,14,9,46,Kuehne+Nagel,Delivered,3245.27,2726.42,KUE4659613908,
21,83,91,24,13,14,52,FedEx International,Delivered,3976.58,1022.32,FED1934869936,
22,475,484,36,12,11,680,XPO Logistics,Delivered,367.78,64.8,XPO4222597659,
23,60,71,31,16,16,19,CMA CGM,In Transit,3535.91,2483.49,CMA9725731371,
24,692,705,10,14,14,106,FedEx International,Delivered,63,15.9,FED1289192796,
25,523,537,5,16,4,528,C.H. Robinson,Delivered,558.86,116.16,CH2971567896,
26,521,528,18,12,9,311,DB Schenker,Delivered,820.09,186.6,DB 3982492367,
27,577,602,22,10,3,10,CMA CGM,Delivered,2597.63,359.4,CMA7021590729,
28,538,547,9,10,14,779,DB Schenker,Delivered,819.8,148.01,DB 1000677678,
29,546,557,33,14,17,1086,C.H. Robinson,In Transit,409.69,89.16,CH2324142596,
30,469,484,29,11,6,27,XPO Logistics,Delivered,5656.87,3638.25,XPO1815641850,
31,286,291,15,12,10,599,XPO Logistics,Delivered,2114.59,365.39,XPO5909679115,
32,427,448,5,14,2,565,C.H. Robinson,Delivered,691.26,124.3,CH4406063656,
